event,datetime,location,description
http://example.com/E_CNN_32,2021-01-06T14:53:00,,"Donald Trump Jr. texts Meadows, 'He’s got to condem (sic) this shit. Asap. The captiol (sic) police tweet is not enough,' according to messages obtained by CNN. Meadows replies, “I am pushing it hard. I agree.”"
http://example.com/E_CNN_33,2021-01-06T15:00:00,,"Trump speaks on the phone with House Minority Leader Kevin McCarthy, who pleads with Trump to call off the mob, but Trump takes the side of the rioters, telling McCarthy that they seem to care more about the election results than he does, according to CNN reporting."
http://example.com/E_CNN_34,2021-01-06T15:00:00,,"White House aides draft a statement for Trump to release, which would’ve condemned the violence and the 'illegal' actions of the rioters, according to Hutchinson’s testimony. The statement was never released."
http://example.com/E_CNN_36,2021-01-06T15:09:00,,"Former Trump chief of staff Reince Priebus texts Meadows, 'TELL THEM TO GO HOME !!!,' according to messages obtained by CNN."
http://example.com/E_CNN_37,2021-01-06T15:13:00,,"Trump tweets that his supporters at the Capitol should 'remain peaceful,' but again doesn’t tell them to leave the premises. At the same time, Trump’s former Health Secretary Tom Price texts Meadows saying, 'POTUS should go on air and defuse this,' according to messages obtained by CNN."
http://example.com/E_CNN_38,2021-01-06T15:15:00,,"Ivanka Trump, the President’s daughter and senior adviser, calls the rioters 'patriots' in a tweet, and tells them that 'the violence must stop,' but does not say that they should leave the Capitol."
http://example.com/E_CNN_39,2021-01-06T15:31:00,,"Fox News host Sean Hannity, who promoted many of Trump’s election lies, texts Meadows, 'Can he make a statement. I saw the tweet. Ask people to peacefully leave the capital,' according to messages obtained by CNN. Meadows replies, 'on it.'"
http://example.com/E_CNN_40,2021-01-06T16:03:00,,"Trump heads to the Rose Garden to film a recorded message. His staff prepared a script for him to read, which said, 'no one should be using violence or threats. … Let’s respect our institutions, let’s all do better.' But Trump goes off-script and improvises most of his remarks, according to a witness, who later testified to the January 6 committee."
http://example.com/E_CNN_41,2021-01-06T16:03:00,,
http://example.com/E_CNN_42,2021-01-06T16:05:00,,"Trump Jr. texts Meadows, 'We need an oval address. He has to lead now. It’s gone too far and gotten out of hand,' according to messages obtained by CNN. A few minutes later, Trump Jr. sends another message saying, 'Now Biden beating us to the punch.'"
http://example.com/E_CNN_43,2021-01-06T16:15:00,,"Biden delivers a televised address, saying Capitol attack 'borders on sedition,' and calling on Trump to tell his supporters to put 'an end to this siege.'"
http://example.com/E_CNN_44,2021-01-06T16:17:00,,"Trump tweets out a video, where he tells the rioters that 'you have to go home now,' but he also praises them and repeats the lie that fueled the attack itself – that the 2020 election was stolen."
http://example.com/E_CNN_45,2021-01-06T16:45:00,,"A bipartisan group of congressional leaders – including then-Senate Majority Leader Mitch McConnell and House Speaker Nancy Pelosi – speak on the phone with then-acting Defense Secretary Christopher Miller, according to footage shown by the January 6 committee. The lawmakers sought assurances from Miller that the National Guard would restore order so they could resume the Electoral College proceedings."
http://example.com/E_CNN_46,2021-01-06T18:00:00,,"A curfew goes into effect in Washington, DC, after an order from Mayor Muriel Bowser. Law enforcement continues clearing the rioters from Capitol grounds, with many rioters still milling around the complex after the curfew."
http://example.com/E_CNN_47,2021-01-06T18:01:00,,Trump tweets that 'these are the things and events that happen when a sacred landslide election victory is so unceremoniously & viciously stripped away from great patriots.'
http://example.com/E_CNN_48,2021-01-06T18:27:00,,"Trump retires for the night to the White House residence. As Trump gathered his things to relocate to his residence, he tells a White House employee that 'Mike Pence let me down,' according to the committee. (The panel did not identify the employee.)"
http://example.com/E_CNN_49,2021-01-06T19:02:00,,"Giuliani leaves a voicemail for Tuberville, the GOP senator. Giuliani asks him to 'slow it down,' referring to the Electoral College proceedings, that would be restarted soon. Giuliani says he wants the delay 'so we can get these legislators to get more information to you,' referring to the Trump-backed effort to have GOP state lawmakers appoint Republican electors who could potentially supplant Biden’s legitimate electors."
http://example.com/E_CNN_50,2021-01-06T19:14:00,,"Trump’s former campaign manager Brad Parscale texts campaign adviser Katrina Pierson, expressing his view that Trump was 'asking for civil war' and that 'I feel guilty for helping him win,' according to messages released by the committee. He tells Pierson that Trump’s rhetoric 'killed someone' that day, presumably referring to Babbitt. Pierson replies that 'it wasn’t the rhetoric,' and Parscale responds, 'Katrina. Yes it was.'"
http://example.com/E_CNN_51,2021-01-06T20:00:00,,"US Capitol Police announces that the Capitol building is secure. the Senate reconvenes, and Pence returns to the dais, saying, 'To those who wreaked havoc in our capitol today, you did not win.' Sen. Mitch McConnell, the chamber’s top Republican, calls the events of the day a 'failed insurrection.'"
http://example.com/E_CNN_52,2021-01-06T20:39:00,,"Trump speaks on the phone with Giuliani for nine minutes, according to White House call logs that were obtained by the Washington Post."
http://example.com/E_CNN_53,2021-01-06T21:02:00,,The House reconvenes.
http://example.com/E_CNN_54,2021-01-06T21:23:00,,"Miller, the Trump campaign spokesman, calls Trump to propose releasing a statement about the transfer of power once the joint session of Congress wraps up. Miller told the January 6 committee that, 'Trump wanted to say ‘peaceful transition,’ and I said, ‘that ship’s kind of already sailed, so we’re going to say ‘orderly transition.’"
http://example.com/E_CNN_55,2021-01-06T22:11:00,,"The Senate votes to reject the objection raised by GOP lawmakers to counting Arizona’s electoral votes, which were awarded to Biden because he won the popular vote in that state."
http://example.com/E_CNN_56,2021-01-06T22:19:00,,"Trump speaks with former White House strategist Steve Bannon for seven minutes, according to White House call logs that were obtained by the Washington Post."
http://example.com/E_CNN_57,2021-01-06T23:08:00,,"Trump talks to Hannity for eight minutes, according to White House call logs that were obtained by the Washington Post."
http://example.com/E_CNN_58,2021-01-06T23:10:00,,"The House votes to reject the objection raised by GOP lawmakers to counting Arizona’s electoral votes, which were awarded to Biden because he won the popular vote in that state."
